creative_id,filename,engajamentoneural,cognitivedemand,focus,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9
120201338518750197,1008236073176348_120201338518750197_120201338518750197_facebook_9.jpeg.json,75.38925168708084,86.43364925339634,7.865244443399599,0.19597983360290527,0.18887285888195038,-0.039281945675611496,0.21196110546588898,-0.2180396318435669,-0.0015624513616785407,-0.16564176976680756,-0.16041694581508636,-0.10103079676628113,-0.11846551299095154
120201338787750197,1008236073176348_120201338787750197_120201338787750197_facebook_9.jpeg.json,75.38925168708084,86.43364925339634,7.865244443399599,0.19597983360290527,0.18887285888195038,-0.039281945675611496,0.21196110546588898,-0.2180396318435669,-0.0015624513616785407,-0.16564176976680756,-0.16041694581508636,-0.10103079676628113,-0.11846551299095154
120201340455780197,1008236073176348_120201340455780197_120201340455780197_facebook_9.jpeg.json,76.16242539958077,77.02723513262582,10.043239070733856,0.1926945596933365,0.18904651701450348,-0.03393781557679176,0.21124796569347382,-0.22023612260818481,-0.006427207961678505,-0.16510064899921417,-0.15788541734218597,-0.10433074086904526,-0.12422188371419907
120201344569730197,1008236073176348_120201344569730197_120201344569730197_facebook_9.jpeg.json,81.87363444940205,70.758832670267,8.31693847571675,0.19346435368061066,0.1906043440103531,-0.036444105207920074,0.21129435300827026,-0.21944253146648407,-0.004006842616945505,-0.16658784449100494,-0.1570657342672348,-0.10441169887781143,-0.12127798050642014
120201344925010197,1008236073176348_120201344925010197_120201344925010197_facebook_9.jpeg.json,78.59395442593664,62.213779717994555,23.455700301486427,0.18988628685474396,0.19478553533554077,-0.03488742560148239,0.21073941886425018,-0.22057348489761353,-0.006255853921175003,-0.16957421600818634,-0.15021799504756927,-0.11146751791238785,-0.1230098083615303
120201345186010197,1008236073176348_120201345186010197_120201345186010197_facebook_9.jpeg.json,75.38231834143564,86.43359605090947,7.86538237277159,0.195963516831398,0.18887518346309662,-0.039251960813999176,0.21195675432682037,-0.21805234253406525,-0.0015837360406294465,-0.16563791036605835,-0.1604069471359253,-0.10104260593652725,-0.11849433928728104
120201345941940197,1008236073176348_120201345941940197_120201345941940197_facebook_9.jpeg.json,76.16242539958077,77.02723513262582,10.043239070733856,0.1926945596933365,0.18904651701450348,-0.03393781557679176,0.21124796569347382,-0.22023612260818481,-0.006427207961678505,-0.16510064899921417,-0.15788541734218597,-0.10433074086904526,-0.12422188371419907
120201346129410197,1008236073176348_120201346129410197_120201346129410197_facebook_9.jpeg.json,79.40222633111114,76.34148578769455,7.963267048153222,0.18814904987812042,0.1932019591331482,-0.030282527208328247,0.21023571491241455,-0.2223110795021057,-0.010255388915538788,-0.1679001897573471,-0.15028931200504303,-0.11205927282571793,-0.12804001569747925
120201346424520197,1008236073176348_120201346424520197_120201346424520197_facebook_9.jpeg.json,81.94218578978298,72.40526856896068,9.609237116978765,0.1896928995847702,0.1905144304037094,-0.030306754633784294,0.21081572771072388,-0.22194184362888336,-0.009716280736029148,-0.16563567519187927,-0.15437038242816925,-0.10821374505758286,-0.12803785502910614
120201346792630197,1008236073176348_120201346792630197_120201346792630197_facebook_9.jpeg.json,75.38231834143564,86.43359605090947,7.86538237277159,0.195963516831398,0.18887518346309662,-0.039251960813999176,0.21195675432682037,-0.21805234253406525,-0.0015837360406294465,-0.16563791036605835,-0.1604069471359253,-0.10104260593652725,-0.11849433928728104
120201346956180197,1008236073176348_120201346956180197_120201346956180197_facebook_9.jpeg.json,76.16242539958077,77.02723513262582,10.043239070733856,0.1926945596933365,0.18904651701450348,-0.03393781557679176,0.21124796569347382,-0.22023612260818481,-0.006427207961678505,-0.16510064899921417,-0.15788541734218597,-0.10433074086904526,-0.12422188371419907
120201347114620197,1008236073176348_120201347114620197_120201347114620197_facebook_9.jpeg.json,79.40222633111114,76.34148578769455,7.963267048153222,0.18814904987812042,0.1932019591331482,-0.030282527208328247,0.21023571491241455,-0.2223110795021057,-0.010255388915538788,-0.1679001897573471,-0.15028931200504303,-0.11205927282571793,-0.12804001569747925
120201347177440197,1008236073176348_120201347177440197_120201347177440197_facebook_9.jpeg.json,81.94218578978298,72.40526856896068,9.609237116978765,0.1896928995847702,0.1905144304037094,-0.030306754633784294,0.21081572771072388,-0.22194184362888336,-0.009716280736029148,-0.16563567519187927,-0.15437038242816925,-0.10821374505758286,-0.12803785502910614
120201400748540197,1008236073176348_120201400748540197_120201400748540197_facebook_9.jpeg.json,70.72275274592982,65.97689457086811,8.245434513156912,0.19734883308410645,0.1894538551568985,-0.04241039231419563,0.21185411512851715,-0.21692653000354767,0.0008330868440680206,-0.1669163703918457,-0.16014708578586578,-0.10048234462738037,-0.11539597064256668
120201420813080197,1008236073176348_120201420813080197_120201420813080197_facebook_9.jpeg.json,72.00275704943864,73.96178715990904,7.861272294144617,0.1977224498987198,0.18893863260746002,-0.04285292327404022,0.2121870070695877,-0.21656601130962372,0.0006505845231004059,-0.166583850979805,-0.16085201501846313,-0.10030736774206161,-0.11523114889860153
120201421228850197,1008236073176348_120201421228850197_120201421228850197_facebook_9.jpeg.json,75.70024001823434,83.10709412337431,7.9439878533656305,0.19951991736888885,0.1891172081232071,-0.0460936613380909,0.21272970736026764,-0.21523769199848175,0.0033493235241621733,-0.1671355813741684,-0.16188110411167145,-0.09903315454721451,-0.11174830049276352
