creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,parsed_cost,CTR,CPC,CPM,engajamentoneural,engajamentoneural_5sec,engajamentoneural_peak,cognitivedemand,cognitivedemand_5sec,cognitivedemand_peak,focus,focus_5sec,focus_peak,embedding_mean,fluency_index,peak_score
flash-sale-rmkt,120204306062580409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120204306062580409_120204306062580409_facebook_9.jpeg,,24276,41.0,"R$ 309,44",11/12/2023,19/02/2024,309.44,0.16889108584610316,7.547317073170731,12.74674575712638,54.32287455190982,54.32287455190982,54.32287455190982,56.43717307279377,56.43717307279377,56.43717307279377,14.402775349561825,14.402775349561825,14.402775349561825,,3.7716949152832884,54.32287455190982
facebook,120210092649590197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120210092649590197_120210092649590197_facebook_9.jpeg,,24247,32.0,"R$ 309,16",15/03/2024,21/03/2024,309.16,0.1319750897018188,9.66125,12.750443353816967,81.05602694422866,81.05602694422866,81.05602694422866,65.44923844660168,65.44923844660168,65.44923844660168,8.093763700484402,8.093763700484402,8.093763700484402,,10.014627303658193,81.05602694422866
mion-mostrando|olhou-clicou|contrate-facil|contratar-rapido,120221999891170409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120221999891170409_120221999891170409_facebook_9.jpeg,,24239,115.0,"R$ 308,32",26/03/2025,09/05/2025,308.32,0.4744420149346095,2.6810434782608694,12.719996699533809,69.56055238481017,69.56055238481017,69.56055238481017,65.79514476610501,65.79514476610501,65.79514476610501,8.740468333073359,8.740468333073359,8.740468333073359,,7.958446817042698,69.56055238481017
pais-gb-preco,120234051362680197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120234051362680197_120234051362680197_facebook_9.jpeg,,24188,195.0,"R$ 307,90",22/07/2025,01/08/2025,307.9,0.8061848850669753,1.5789743589743588,12.729452621134447,73.42935558691622,73.42935558691622,73.42935558691622,63.776770533752824,63.776770533752824,63.776770533752824,10.892898547542362,10.892898547542362,10.892898547542362,,6.741029971630758,73.42935558691622
modem,120240155976170409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120240155976170409_120240155976170409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120240155976170409_120240155976170409_facebook_9.mp4,24157,9.0,"R$ 307,31",02/12/2025,08/12/2025,307.31,0.03725628182307406,34.14555555555555,12.721364407832098,79.81397950702681,81.57012733026838,88.97777544527028,74.14811073317114,71.68868489847279,82.58257286272423,45.176823148003486,47.681355875823094,65.8234658292232,-0.01852075375047409,1.7667019047698147,88.97777544527028
mion-notebook|turbine-agora|home-office|conheca-ofertas,120222000315350409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120222000315350409_120222000315350409_facebook_9.jpeg,,24048,174.0,"R$ 306,77",26/03/2025,08/05/2025,306.77,0.7235528942115769,1.7630459770114941,12.756570192947438,86.86715656463504,86.86715656463504,86.86715656463504,92.14121399812791,92.14121399812791,92.14121399812791,41.67714170500501,41.67714170500501,41.67714170500501,,2.084287765689151,86.86715656463504
meta,23855016091350408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23855016091350408_23855016091350408_facebook_9.jpeg,,24013,49.0,"R$ 305,50",08/05/2023,25/05/2023,305.5,0.2040561362595261,6.23469387755102,12.72227543413984,69.5421244416866,69.5421244416866,69.5421244416866,91.25326129403149,91.25326129403149,91.25326129403149,57.13679753006598,57.13679753006598,57.13679753006598,,1.2171162446598938,69.5421244416866
yellowstone|assinatura|paramount|contrate-agora,120217567886870409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120217567886870409_120217567886870409_facebook_9.jpeg,,23991,80.0,"R$ 305,44",21/01/2025,10/03/2025,305.44,0.33345838022591806,3.818,12.731440957025551,81.10460682352196,81.10460682352196,81.10460682352196,90.59425510731438,90.59425510731438,90.59425510731438,7.840578782298957,7.840578782298957,7.840578782298957,,10.344211706235935,81.10460682352196
clientes,120215941174360409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120215941174360409_120215941174360409_facebook_9.jpeg,,23989,126.0,"R$ 304,99",05/11/2024,03/12/2024,304.99,0.5252407353370294,2.4205555555555556,12.71374379924132,84.30135856996085,84.30135856996085,84.30135856996085,82.83183363302953,82.83183363302953,82.83183363302953,8.092294502038367,8.092294502038367,8.092294502038367,,10.41748524460228,84.30135856996085
deezer-now,120220479397000197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120220479397000197_120220479397000197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120220479397000197_120220479397000197_facebook_9.mp4,23898,86.0,"R$ 304,54",27/03/2025,07/04/2025,304.54,0.3598627500209223,3.541162790697675,12.743325801322287,80.95969970685192,81.6659839630766,89.25057127171961,81.27343906411541,70.19037110956928,86.85125910113005,9.183296102289084,11.632498243302953,18.114131839692064,-0.020475867020690607,8.815974003786224,89.25057127171961
