creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date
chegada-praca,120231942733830409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120231942733830409_120231942733830409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120231942733830409_120231942733830409_facebook_9.mp4,18813274,13624.0,"R$ 165.500,53",22/07/2025,06/10/2025
hero,120227596169900409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120227596169900409_120227596169900409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120227596169900409_120227596169900409_facebook_9.mp4,18737297,15657.0,"R$ 163.531,46",12/05/2025,22/05/2025
pre-pago,120220329281090370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5006651156112143_120220329281090370_120220329281090370_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5006651156112143_120220329281090370_120220329281090370_facebook_9.mp4,17360617,9684.0,"R$ 150.624,49",01/02/2025,18/02/2025
hero-mensagem-chegou,120218765427320409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120218765427320409_120218765427320409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120218765427320409_120218765427320409_facebook_9.mp4,16586066,37453.0,"R$ 148.359,29",10/02/2025,04/05/2025
,120204166198440348,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/557249762645654_120204166198440348_120204166198440348_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/557249762645654_120204166198440348_120204166198440348_facebook_9.mp4,16581980,6909.0,"R$ 146.952,74",02/12/2023,15/12/2023
black-friday-v2,120216157433250409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120216157433250409_120216157433250409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120216157433250409_120216157433250409_facebook_9.mp4,16442730,13413.0,"R$ 145.542,10",18/11/2024,03/12/2024
hero,120227706240380409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120227706240380409_120227706240380409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120227706240380409_120227706240380409_facebook_9.mp4,16216256,13759.0,"R$ 139.881,04",12/05/2025,22/05/2025
kv-hero,120228143445610197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120228143445610197_120228143445610197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120228143445610197_120228143445610197_facebook_9.mp4,15823335,102938.0,"R$ 131.871,39",01/05/2025,01/06/2025
kv-hero,120218103353310197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120218103353310197_120218103353310197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120218103353310197_120218103353310197_facebook_9.mp4,15266791,243488.0,"R$ 127.628,06",10/12/2024,17/04/2025
black-friday,120215864300970409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120215864300970409_120215864300970409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120215864300970409_120215864300970409_facebook_9.mp4,14106494,7565.0,"R$ 117.958,07",01/11/2024,18/11/2024
hero,120231081551930409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120231081551930409_120231081551930409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120231081551930409_120231081551930409_facebook_9.mp4,13976637,8121.0,"R$ 117.207,06",01/07/2025,06/10/2025
pre-pago,120232828858190370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5006651156112143_120232828858190370_120232828858190370_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5006651156112143_120232828858190370_120232828858190370_facebook_9.mp4,13821140,9024.0,"R$ 116.239,64",01/07/2025,31/07/2025
kv-hero,120243635239210197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120243635239210197_120243635239210197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120243635239210197_120243635239210197_facebook_9.mp4,13816881,144062.0,"R$ 115.803,40",03/12/2025,09/01/2026
black-friday,120217302022650197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120217302022650197_120217302022650197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120217302022650197_120217302022650197_facebook_9.mp4,13798491,6141.0,"R$ 115.566,96",12/11/2024,14/12/2024
gamers,120218707427320409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120218707427320409_120218707427320409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120218707427320409_120218707427320409_facebook_9.mp4,13430892,7793.0,"R$ 109.720,58",06/02/2025,07/04/2025
hero,120217048031530409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120217048031530409_120217048031530409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120217048031530409_120217048031530409_facebook_9.mp4,13268844,7487.0,"R$ 109.425,07",01/01/2025,18/01/2025
modem,120231081551880409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120231081551880409_120231081551880409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120231081551880409_120231081551880409_facebook_9.mp4,13061910,7441.0,"R$ 105.638,89",01/07/2025,01/10/2025
manifesto,120222137093970439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120222137093970439_120222137093970439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120222137093970439_120222137093970439_facebook_9.mp4,13025250,11044.0,"R$ 105.464,71",18/03/2025,06/06/2025
bf-hero,120241506979330197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120241506979330197_120241506979330197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120241506979330197_120241506979330197_facebook_9.mp4,12313634,132754.0,"R$ 99.161,30",02/11/2025,04/12/2025
pre-pago,120232828988650370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5006651156112143_120232828988650370_120232828988650370_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5006651156112143_120232828988650370_120232828988650370_facebook_9.mp4,11935320,5833.0,"R$ 93.377,60",01/07/2025,31/07/2025
